index;country;country_code;indicator_name;indicator_code;population
128;Lebanon;LBN;Population, total;SP.POP.TOTL;5850743
129;Liberia;LBR;Population, total;SP.POP.TOTL;4503438
130;Libya;LBY;Population, total;SP.POP.TOTL;6278438
131;St. Lucia;LCA;Population, total;SP.POP.TOTL;184999
132;Latin America & Caribbean;LCN;Population, total;SP.POP.TOTL;633026419
133;Least developed countries: UN classification;LDC;Population, total;SP.POP.TOTL;954157804
134;Low income;LIC;Population, total;SP.POP.TOTL;638286288
135;Liechtenstein;LIE;Population, total;SP.POP.TOTL;37531
136;Sri Lanka;LKA;Population, total;SP.POP.TOTL;20966000
137;Lower middle income;LMC;Population, total;SP.POP.TOTL;2927468838
138;Low & middle income;LMY;Population, total;SP.POP.TOTL;6159612979
139;Lesotho;LSO;Population, total;SP.POP.TOTL;2135022
140;Late-demographic dividend;LTE;Population, total;SP.POP.TOTL;2249385146
141;Lithuania;LTU;Population, total;SP.POP.TOTL;2904910
142;Luxembourg;LUX;Population, total;SP.POP.TOTL;569604
143;Latvia;LVA;Population, total;SP.POP.TOTL;1977527
144;Macao SAR, China;MAC;Population, total;SP.POP.TOTL;587606
145;St. Martin (French part);MAF;Population, total;SP.POP.TOTL;31754
146;Morocco;MAR;Population, total;SP.POP.TOTL;34377511
147;Monaco;MCO;Population, total;SP.POP.TOTL;37731
148;Moldova;MDA;Population, total;SP.POP.TOTL;3554108
149;Madagascar;MDG;Population, total;SP.POP.TOTL;24235390
150;Maldives;MDV;Population, total;SP.POP.TOTL;409163
151;Middle East & North Africa;MEA;Population, total;SP.POP.TOTL;424211252
152;Mexico;MEX;Population, total;SP.POP.TOTL;127017224
153;Marshall Islands;MHL;Population, total;SP.POP.TOTL;52993
154;Middle income;MIC;Population, total;SP.POP.TOTL;5521326691
155;Macedonia, FYR;MKD;Population, total;SP.POP.TOTL;2078453
156;Mali;MLI;Population, total;SP.POP.TOTL;17599694
157;Malta;MLT;Population, total;SP.POP.TOTL;431874
158;Myanmar;MMR;Population, total;SP.POP.TOTL;53897154
159;Middle East & North Africa (excluding high income);MNA;Population, total;SP.POP.TOTL;362706695
160;Montenegro;MNE;Population, total;SP.POP.TOTL;622159
161;Mongolia;MNG;Population, total;SP.POP.TOTL;2959134
162;Northern Mariana Islands;MNP;Population, total;SP.POP.TOTL;55070
163;Mozambique;MOZ;Population, total;SP.POP.TOTL;27977863
164;Mauritania;MRT;Population, total;SP.POP.TOTL;4067564
165;Mauritius;MUS;Population, total;SP.POP.TOTL;1262605
166;Malawi;MWI;Population, total;SP.POP.TOTL;17215232
167;Malaysia;MYS;Population, total;SP.POP.TOTL;30331007
168;North America;NAC;Population, total;SP.POP.TOTL;357332665
169;Namibia;NAM;Population, total;SP.POP.TOTL;2458830
170;New Caledonia;NCL;Population, total;SP.POP.TOTL;273000
171;Niger;NER;Population, total;SP.POP.TOTL;19899120
172;Nigeria;NGA;Population, total;SP.POP.TOTL;182201962
173;Nicaragua;NIC;Population, total;SP.POP.TOTL;6082032
174;Netherlands;NLD;Population, total;SP.POP.TOTL;16939923
175;Norway;NOR;Population, total;SP.POP.TOTL;5190239
176;Nepal;NPL;Population, total;SP.POP.TOTL;28513700
177;Nauru;NRU;Population, total;SP.POP.TOTL;12475
178;New Zealand;NZL;Population, total;SP.POP.TOTL;4595700
179;OECD members;OED;Population, total;SP.POP.TOTL;1282900953
180;Oman;OMN;Population, total;SP.POP.TOTL;4490541
181;Other small states;OSS;Population, total;SP.POP.TOTL;28593188
182;Pakistan;PAK;Population, total;SP.POP.TOTL;188924874
183;Panama;PAN;Population, total;SP.POP.TOTL;3929141
184;Peru;PER;Population, total;SP.POP.TOTL;31376670
185;Philippines;PHL;Population, total;SP.POP.TOTL;100699395
186;Palau;PLW;Population, total;SP.POP.TOTL;21291
187;Papua New Guinea;PNG;Population, total;SP.POP.TOTL;7619321
188;Poland;POL;Population, total;SP.POP.TOTL;37986412
189;Pre-demographic dividend;PRE;Population, total;SP.POP.TOTL;850210773
190;Puerto Rico;PRI;Population, total;SP.POP.TOTL;3474182
191;Korea, Dem. People’s Rep.;PRK;Population, total;SP.POP.TOTL;25155317
192;Portugal;PRT;Population, total;SP.POP.TOTL;10358076
193;Paraguay;PRY;Population, total;SP.POP.TOTL;6639123
194;West Bank and Gaza;PSE;Population, total;SP.POP.TOTL;4422143
195;Pacific island small states;PSS;Population, total;SP.POP.TOTL;2353344
196;Post-demographic dividend;PST;Population, total;SP.POP.TOTL;1097579098
197;French Polynesia;PYF;Population, total;SP.POP.TOTL;282764
198;Qatar;QAT;Population, total;SP.POP.TOTL;2235355
199;Romania;ROU;Population, total;SP.POP.TOTL;19815308
200;Russian Federation;RUS;Population, total;SP.POP.TOTL;144096870
201;Rwanda;RWA;Population, total;SP.POP.TOTL;11609666
202;South Asia;SAS;Population, total;SP.POP.TOTL;1744161298
203;Saudi Arabia;SAU;Population, total;SP.POP.TOTL;31540372
204;Sudan;SDN;Population, total;SP.POP.TOTL;40234882
205;Senegal;SEN;Population, total;SP.POP.TOTL;15129273
206;Singapore;SGP;Population, total;SP.POP.TOTL;5535002
207;Solomon Islands;SLB;Population, total;SP.POP.TOTL;583591
208;Sierra Leone;SLE;Population, total;SP.POP.TOTL;6453184
209;El Salvador;SLV;Population, total;SP.POP.TOTL;6126583
210;San Marino;SMR;Population, total;SP.POP.TOTL;31781
211;Somalia;SOM;Population, total;SP.POP.TOTL;10787104
212;Serbia;SRB;Population, total;SP.POP.TOTL;7095383
213;Sub-Saharan Africa (excluding high income);SSA;Population, total;SP.POP.TOTL;1000943138
214;South Sudan;SSD;Population, total;SP.POP.TOTL;12339812
215;Sub-Saharan Africa;SSF;Population, total;SP.POP.TOTL;1001036557
216;Small states;SST;Population, total;SP.POP.TOTL;38062892
217;Sao Tome and Principe;STP;Population, total;SP.POP.TOTL;190344
218;Suriname;SUR;Population, total;SP.POP.TOTL;542975
219;Slovak Republic;SVK;Population, total;SP.POP.TOTL;5423801
220;Slovenia;SVN;Population, total;SP.POP.TOTL;2063531
221;Sweden;SWE;Population, total;SP.POP.TOTL;9799186
222;Swaziland;SWZ;Population, total;SP.POP.TOTL;1286970
223;Sint Maarten (Dutch part);SXM;Population, total;SP.POP.TOTL;38824
224;Seychelles;SYC;Population, total;SP.POP.TOTL;93419
225;Syrian Arab Republic;SYR;Population, total;SP.POP.TOTL;18502413
226;Turks and Caicos Islands;TCA;Population, total;SP.POP.TOTL;34339
227;Chad;TCD;Population, total;SP.POP.TOTL;14037472
228;East Asia & Pacific (IDA & IBRD countries);TEA;Population, total;SP.POP.TOTL;2009880516
229;Europe & Central Asia (IDA & IBRD countries);TEC;Population, total;SP.POP.TOTL;453480582
230;Togo;TGO;Population, total;SP.POP.TOTL;7304578
231;Thailand;THA;Population, total;SP.POP.TOTL;67959359
232;Tajikistan;TJK;Population, total;SP.POP.TOTL;8481855
233;Turkmenistan;TKM;Population, total;SP.POP.TOTL;5373502
234;Latin America & the Caribbean (IDA & IBRD countries);TLA;Population, total;SP.POP.TOTL;616929998
235;Timor-Leste;TLS;Population, total;SP.POP.TOTL;1184765
236;Middle East & North Africa (IDA & IBRD countries);TMN;Population, total;SP.POP.TOTL;358284552
237;Tonga;TON;Population, total;SP.POP.TOTL;106170
238;South Asia (IDA & IBRD);TSA;Population, total;SP.POP.TOTL;1744161298
239;Sub-Saharan Africa (IDA & IBRD countries);TSS;Population, total;SP.POP.TOTL;1001036557
240;Trinidad and Tobago;TTO;Population, total;SP.POP.TOTL;1360088
241;Tunisia;TUN;Population, total;SP.POP.TOTL;11253554
242;Turkey;TUR;Population, total;SP.POP.TOTL;78665830
243;Tuvalu;TUV;Population, total;SP.POP.TOTL;9916
244;Tanzania;TZA;Population, total;SP.POP.TOTL;53470420
245;Uganda;UGA;Population, total;SP.POP.TOTL;39032383
246;Ukraine;UKR;Population, total;SP.POP.TOTL;45154029
247;Upper middle income;UMC;Population, total;SP.POP.TOTL;2593857853
248;Uruguay;URY;Population, total;SP.POP.TOTL;3431555
249;United States;USA;Population, total;SP.POP.TOTL;321418820
250;Uzbekistan;UZB;Population, total;SP.POP.TOTL;31298900
251;St. Vincent and the Grenadines;VCT;Population, total;SP.POP.TOTL;109462
252;Venezuela, RB;VEN;Population, total;SP.POP.TOTL;31108083
253;British Virgin Islands;VGB;Population, total;SP.POP.TOTL;30117
254;Virgin Islands (U.S.);VIR;Population, total;SP.POP.TOTL;103574
255;Vietnam;VNM;Population, total;SP.POP.TOTL;91713300
256;Vanuatu;VUT;Population, total;SP.POP.TOTL;264652
257;World;WLD;Population, total;SP.POP.TOTL;7346705903
258;Samoa;WSM;Population, total;SP.POP.TOTL;193228
259;Kosovo;XKX;Population, total;SP.POP.TOTL;1801800
260;Yemen, Rep.;YEM;Population, total;SP.POP.TOTL;26832215
261;South Africa;ZAF;Population, total;SP.POP.TOTL;55011976.68
262;Zambia;ZMB;Population, total;SP.POP.TOTL;16211767
263;Zimbabwe;ZWE;Population, total;SP.POP.TOTL;15602751
